step,loss value
286200,"tf.Tensor(0.57523906, shape=(), dtype=float32)"
286300,"tf.Tensor(0.3746276, shape=(), dtype=float32)"
286400,"tf.Tensor(0.38997075, shape=(), dtype=float32)"
286500,"tf.Tensor(1.2419317, shape=(), dtype=float32)"
286600,"tf.Tensor(0.24335995, shape=(), dtype=float32)"
286700,"tf.Tensor(0.3238898, shape=(), dtype=float32)"
286800,"tf.Tensor(0.2906512, shape=(), dtype=float32)"
286900,"tf.Tensor(0.93947035, shape=(), dtype=float32)"
287000,"tf.Tensor(0.37233576, shape=(), dtype=float32)"
287100,"tf.Tensor(0.31345245, shape=(), dtype=float32)"
287200,"tf.Tensor(0.34753174, shape=(), dtype=float32)"
287300,"tf.Tensor(0.07650693, shape=(), dtype=float32)"
287400,"tf.Tensor(1.0512557, shape=(), dtype=float32)"
287500,"tf.Tensor(3.040617, shape=(), dtype=float32)"
287600,"tf.Tensor(0.0093445275, shape=(), dtype=float32)"
287700,"tf.Tensor(0.9137896, shape=(), dtype=float32)"
287800,"tf.Tensor(0.650109, shape=(), dtype=float32)"
287900,"tf.Tensor(0.486148, shape=(), dtype=float32)"
288000,"tf.Tensor(1.2907571, shape=(), dtype=float32)"
288100,"tf.Tensor(0.018346097, shape=(), dtype=float32)"
288200,"tf.Tensor(0.025286283, shape=(), dtype=float32)"
288300,"tf.Tensor(0.025556099, shape=(), dtype=float32)"
288400,"tf.Tensor(1.1096495, shape=(), dtype=float32)"
288500,"tf.Tensor(0.016179048, shape=(), dtype=float32)"
288600,"tf.Tensor(0.05659558, shape=(), dtype=float32)"
288700,"tf.Tensor(0.026705757, shape=(), dtype=float32)"
288800,"tf.Tensor(1.2437191, shape=(), dtype=float32)"
288900,"tf.Tensor(0.028920475, shape=(), dtype=float32)"
289000,"tf.Tensor(0.3662431, shape=(), dtype=float32)"
289100,"tf.Tensor(0.5167032, shape=(), dtype=float32)"
289200,"tf.Tensor(0.03349964, shape=(), dtype=float32)"
289300,"tf.Tensor(0.1334856, shape=(), dtype=float32)"
289400,"tf.Tensor(0.013313797, shape=(), dtype=float32)"
289500,"tf.Tensor(0.014654332, shape=(), dtype=float32)"
289600,"tf.Tensor(0.015922112, shape=(), dtype=float32)"
289700,"tf.Tensor(0.36204728, shape=(), dtype=float32)"
289800,"tf.Tensor(0.016750509, shape=(), dtype=float32)"
289900,"tf.Tensor(0.017628618, shape=(), dtype=float32)"
290000,"tf.Tensor(1.4700685, shape=(), dtype=float32)"
290100,"tf.Tensor(0.22621441, shape=(), dtype=float32)"
290200,"tf.Tensor(0.005054171, shape=(), dtype=float32)"
290300,"tf.Tensor(0.47309515, shape=(), dtype=float32)"
290400,"tf.Tensor(0.015230005, shape=(), dtype=float32)"
290500,"tf.Tensor(0.0051744836, shape=(), dtype=float32)"
290600,"tf.Tensor(0.020225508, shape=(), dtype=float32)"
290700,"tf.Tensor(0.1342751, shape=(), dtype=float32)"
290800,"tf.Tensor(0.004876583, shape=(), dtype=float32)"
290900,"tf.Tensor(0.0099410275, shape=(), dtype=float32)"
291000,"tf.Tensor(0.2829944, shape=(), dtype=float32)"
291100,"tf.Tensor(0.013780041, shape=(), dtype=float32)"
291200,"tf.Tensor(1.253042, shape=(), dtype=float32)"
291300,"tf.Tensor(0.024196552, shape=(), dtype=float32)"
291400,"tf.Tensor(2.411162, shape=(), dtype=float32)"
291500,"tf.Tensor(0.008523364, shape=(), dtype=float32)"
291600,"tf.Tensor(0.0037458935, shape=(), dtype=float32)"
291700,"tf.Tensor(0.12014609, shape=(), dtype=float32)"
291800,"tf.Tensor(0.024293598, shape=(), dtype=float32)"
291900,"tf.Tensor(0.019008124, shape=(), dtype=float32)"
292000,"tf.Tensor(0.14104888, shape=(), dtype=float32)"
292100,"tf.Tensor(0.0026996266, shape=(), dtype=float32)"
292200,"tf.Tensor(0.01720718, shape=(), dtype=float32)"
292300,"tf.Tensor(0.10023839, shape=(), dtype=float32)"
292400,"tf.Tensor(0.93182, shape=(), dtype=float32)"
292500,"tf.Tensor(0.13468292, shape=(), dtype=float32)"
292600,"tf.Tensor(0.0037528062, shape=(), dtype=float32)"
292700,"tf.Tensor(0.012052919, shape=(), dtype=float32)"
292800,"tf.Tensor(0.47063428, shape=(), dtype=float32)"
292900,"tf.Tensor(0.11182376, shape=(), dtype=float32)"
293000,"tf.Tensor(0.00383691, shape=(), dtype=float32)"
293100,"tf.Tensor(0.12161044, shape=(), dtype=float32)"
293200,"tf.Tensor(0.0052735554, shape=(), dtype=float32)"
293300,"tf.Tensor(0.041838165, shape=(), dtype=float32)"
293400,"tf.Tensor(0.74225605, shape=(), dtype=float32)"
293500,"tf.Tensor(0.2529483, shape=(), dtype=float32)"
293600,"tf.Tensor(0.18273266, shape=(), dtype=float32)"
293700,"tf.Tensor(3.4488125, shape=(), dtype=float32)"
293800,"tf.Tensor(1.3341095, shape=(), dtype=float32)"
293900,"tf.Tensor(1.5461826, shape=(), dtype=float32)"
294000,"tf.Tensor(0.70461214, shape=(), dtype=float32)"
294100,"tf.Tensor(0.62382025, shape=(), dtype=float32)"
294200,"tf.Tensor(0.009026736, shape=(), dtype=float32)"
294300,"tf.Tensor(0.91786224, shape=(), dtype=float32)"
294400,"tf.Tensor(0.5835166, shape=(), dtype=float32)"
294500,"tf.Tensor(1.2185155, shape=(), dtype=float32)"
294600,"tf.Tensor(0.10555406, shape=(), dtype=float32)"
294700,"tf.Tensor(0.005481137, shape=(), dtype=float32)"
294800,"tf.Tensor(1.422843, shape=(), dtype=float32)"
294900,"tf.Tensor(0.013680645, shape=(), dtype=float32)"
295000,"tf.Tensor(1.8825155, shape=(), dtype=float32)"
295100,"tf.Tensor(0.0469146, shape=(), dtype=float32)"
295200,"tf.Tensor(0.022778861, shape=(), dtype=float32)"
295300,"tf.Tensor(0.02430623, shape=(), dtype=float32)"
295400,"tf.Tensor(0.9009606, shape=(), dtype=float32)"
295500,"tf.Tensor(0.48921558, shape=(), dtype=float32)"
295600,"tf.Tensor(3.3299625, shape=(), dtype=float32)"
295700,"tf.Tensor(0.005376507, shape=(), dtype=float32)"
295800,"tf.Tensor(0.0053945947, shape=(), dtype=float32)"
295900,"tf.Tensor(0.0022277671, shape=(), dtype=float32)"
296000,"tf.Tensor(0.024003733, shape=(), dtype=float32)"
296100,"tf.Tensor(0.0231105, shape=(), dtype=float32)"
296200,"tf.Tensor(0.0049746567, shape=(), dtype=float32)"
296300,"tf.Tensor(0.0208673, shape=(), dtype=float32)"
296400,"tf.Tensor(0.26634148, shape=(), dtype=float32)"
296500,"tf.Tensor(0.018800171, shape=(), dtype=float32)"
296600,"tf.Tensor(1.2064664, shape=(), dtype=float32)"
296700,"tf.Tensor(1.8432695, shape=(), dtype=float32)"
296800,"tf.Tensor(0.45232388, shape=(), dtype=float32)"
296900,"tf.Tensor(0.004790904, shape=(), dtype=float32)"
297000,"tf.Tensor(0.08821309, shape=(), dtype=float32)"
